,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
69,70,1896,Démolition d'un mur (1896) ,6.4,2313,"Auguste Lumière directs four workers in the demolition of an old wall at the Lumière factory. One worker is pressing the wall inwards with a jackscrew, while another is pushing it with a ...
                    See full summary »","['Documentary', 'Short']","[('Auguste Lumière', 525908)]",,"[{'star': 'Auguste Lumière', 'star_id': 525908, 'character': None, 'character_id': None}]","[('Louis Lumière', 525910)]",6 March 1896,France,None,,,,1
70,71,1896,Automobiles Starting a Race (1896) ,3.5,14,No description.,"['Short', 'Sport']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
71,72,1896,Officers of French Army Leaving Service (1896) ,4.2,13,No description.,['Short'],,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
72,73,1896,Sea Breaking on the Rocks (1896) ,3.6,11,"Very little is known about this lost film, but according to the title it possibly featured large waves crashing against jagged, black rocks on a coast.","['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
73,74,1896,Children Playing on the Beach (1896) ,4.6,15,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
74,75,1896,The Conjuring of a Woman at the House of Robert Houdin (1896) ,6.3,1611,"As an elegant maestro of mirage and delusion drapes his beautiful female assistant with a gauzy textile, much to our amazement, the lady vanishes into thin air.","['Short', 'Horror']","[(""Jehanne d'Alcy"", 194945), ('Georges Méliès', 194945)]",,"[{'star': ""Jehanne d'Alcy"", 'star_id': 194945, 'character': 'Woman', 'character_id': 75}, {'star': 'Georges Méliès', 'star_id': 617588, 'character': 'Magician', 'character_id': 75}]","[('Georges Méliès', 617588)]",October 1896,France,None,,,,1
75,76,1896,Exit of Rip and the Dwarf (1896) ,4.5,444,A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,"['Drama', 'Short']","[('Joseph Jefferson', 420198)]",,"[{'star': 'Joseph Jefferson', 'star_id': 420198, 'character': 'Rip Van Winkle', 'character_id': 76}]","[('William K.L. Dickson', 5690)]",1 September 1896,USA,None,"['Buzzards Bay', 'Massachusetts', 'USA']",,,1
76,77,1896,"Le fakir, mystère indien (1896) ",4.8,17,No description.,['Short'],,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
77,78,1896,Feira de Gado na Corujeira (1896) ,4.1,52,"Campinos on horseback drive small herds of cattle through the vast area of the traditional fair, before prospective buyers.","['Documentary', 'Short']",,,[],"[('Aurélio da Paz dos Reis', 234288)]",1896,Portugal,None,"['Praça da Corujeira', 'Campanhã', 'Porto', 'Portugal']",,,1
78,79,1896,La gare Saint-Lazare (1896) ,4.4,16,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,,,,,
79,80,1896,Manoeuvres of the French Army (1896) ,4.1,12,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
80,81,1896,Towing a Boat on the River (1896) ,4.2,13,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
81,82,1896,A Hard Wash (1896) ,4.8,24,"""A colored woman washing a little pickaninny. Very funny, and especially pleasing to children.""","['Comedy', 'Short']",,,[],"[('William K.L. Dickson', 5690)]",12 September 1896,USA,None,"['841 Broadway', 'Manhattan', 'New York City', 'New York', 'USA']",,,
82,83,1896,The Peeping Toms (1896) ,4.7,18,No description.,['Short'],,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
83,84,1896,The Drunkards (1896) ,4.4,14,No description.,['Short'],,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
84,85,1896,Gardener Burning Weeds (1896) ,4.7,15,"Little is known about this lost film, which presumably features a gardener.",['Short'],,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
85,86,1896,"Beach and Pier at Trouville, 1st part (1896) ",4.2,13,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
86,87,1896,"Beach and Pier at Trouville, 2nd part (1896) ",4.8,17,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
87,88,1896,Market Day (1896) ,4.7,14,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",,France,None,,,,
